S.No,Molecule SMILE,PCE
102,OC(=O)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1,1.66
103,OC(=O)CN1C(=S)SC(=Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)C1=O,1.12
104,C=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=C(C(=O)O)C#N,2.86
105,C=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=CC=C(C(=O)O)C#N,4.82
106,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(=O)c1c2ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,4.71
107,CCCCCCOc1cc(OCCCCCC)ccc1n1c2cc(sc2c2c1cc(s2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,7.67
108,CCCCCCOc1cc(OCCCCCC)ccc1n1c2cc(sc2c2c1cc(s2)c1sc2c(c1)n(c1c2sc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1cc(OCCCCCC)cc(c1)OCCCCCC)/C=C(/C(=O)O)\C#N,4.19
109,N#C/C(=C/c1ccc(cc1)c1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc(cc1)c1ccccc1)/C(=O)O,2.28
110,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc(cc1)c1ccccc1)/C(=O)O,4.83
111,N#C/C(=C/c1ccc(o1)c1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc(cc1)c1ccccc1)/C(=O)O,5.81
113,N#C/C(=C\c1cc(c(s1)c1sc(cc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,7.21
114,N#C/C(=C\c1cc(c(s1)c1sc(cc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,5.79
115,CCN(c1ccc(cc1)C=C[N+](=O)[O-])CC,0.6
116,OC(=O)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,1.7
117,[O-][N+](=O)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,0.7
118,OC(=O)C=Cc1ccc(cc1)N(c1ccc(cc1)C=CC(=O)O)c1ccccc1,3.9
119,[O-][N+](=O)C=Cc1ccc(cc1)N(c1ccc(cc1)C=C[N+](=O)[O-])c1ccccc1,1.1
120,COc1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N,7.66
121,CCCCCCCCOc1cc2c3cc(sc3c3c(c2cc1OCCCCCCCC)cc(s3)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC,5.2
