S.No,Molecule SMILE,PCE
41,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)C(=O)O,0.8
42,Oc1c(O)cccc1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cccc(c1O)O)/c1cccc(c1O)O)/c1cccc(c1O)O,0.6
43,Oc1cc(ccc1O)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(c(c1)O)O)/c1ccc(c(c1)O)O)/c1ccc(c(c1)O)O,0.23
44,Oc1ccc(c(c1)O)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1O)O)/c1ccc(cc1O)O)/c1ccc(cc1O)O,0.03
45,Oc1ccc(c(c1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cc(O)ccc1O)/c1cc(O)ccc1O)/c1cc(O)ccc1O)O,0.02
46,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C#Cc1ccc(cc1)C(=O)O)/c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)/c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,3.4
47,OC(=O)c1ccc(cc1)C#C/C/1=c/2\cc/c/3=C(\c4ccc(cc4)N(c4ccccc4)c4ccccc4)/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)cc5)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C=C4,2.06
48,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C#Cc1ccc(cc1)C(=O)O)OCCCCCCCC,8.42
50,CCCCCCCCOc1cccc(c1/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/C#Cc1ccc(s1)C(=O)O)cc5)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/C=C4)\N(c1ccc(cc1)c1ccc(s1)CCCCCC)c1ccc(cc1)c1ccc(s1)CCCCCC)OCCCCCCCC,5.62
51,CCCCCCCCOc1cccc(c1/C/1=c/2\cc/c/3=C(\C#Cc4ccc(cc4)N(c4ccc(cc4)c4ccc(s4)CCCCCC)c4ccc(cc4)c4ccc(s4)CCCCCC)/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/C#Cc1ccc(s1)C(=O)O)cc5)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/C=C4)OCCCCCCCC,6.4
