S.No,Molecule SMILE,PCE
121,CCCCn1c(/C=C/c2ccc(n2c2ccc(cc2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C=C(\C(=O)O)/C#N)cc2c1ccc(c2)c1ccc(cc1)N(c1ccccc1)c1ccccc1,4.31
122,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)n1c(ccc1/C=C(\C(=O)O)/C#N)/C=C/c1cc2c(n1CCCC)ccc(c2)c1ccc2c(c1)c1ccccc1n2CCCCCC,4.31
123,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,6.85
124,CCCCCCc1cc(sc1c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)c1ccc(c2c1nsn2)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC,4.64
125,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)C1CCCC1N2CC,3.7
126,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,6.9
127,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C(C)(C)C)/C(=O)O,5.87
128,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N,6.2
129,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)C=C(C(=O)O)C#N)/C#N,1.48
130,OC(=O)c1ccc2c(c1)C(=O)/C(=C/c1ccc(s1)c1ccc3c(c1)C1CCCC1N3c1ccc3c(c1)C(C)(C)c1c3cccc1)/C2=O,4.68
131,CCCCCCc1cc(sc1/C=C/1\C(=O)c2c(C1=O)cc(cc2)C(=O)O)c1ccc2c(c1)C1CCCC1N2c1ccc2c(c1)C(C)(C)c1c2cccc1,6.11
132,OC(=O)CN1C(=S)S/C(=C\c2ccc3c(c2)N(c2ccc(cc2)C=C(c2ccccc2)c2ccccc2)C2C3CCC2)/C1=O,2.35
133,CCCCCCCCN1C(=S)SC(=c2sc(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)c(=O)n2CC(=O)O)C1=O,5.7
134,N#C/C(=C\c1ccc(o1)c1ccc(c2c1non2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,6.21
135,CCCCCCc1cc(sc1/C=C(/C(=O)O)\C#N)c1ccc(c2c1non2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,8.61
136,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)C(=O)O,5.97
138,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,4.42
139,CCCCCCCCN1C(=O)c2c(C1=O)c(ccc2c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)c1ccc(s1)/C=C(/C(=O)O)\C#N,5.11
140,COc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)/C=C(/C(=O)O)\C#N,4.03
141,CCCCCCCCn1nc2c(n1)c(ccc2c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,8.38
142,N#C/C(=C\c1ccc(s1)c1sc(c2c1OCCO2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,4.45
143,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)n1c2cc(sc2c2c1cc(s2)c1ccc2c(c1)C1CCCC1N2c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)/C=C(/C(=O)O)\C#N,7.25
144,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)n1c2cc(sc2c2c1cc(s2)c1ccc2c(c1)C1CCCC1N2c1ccc2c(c1)C(CCC)(CCC)c1c2c2c(c3c1c1ccccc1C3(CCC)CCC)c1c(C2(CCC)CCC)cccc1)/C=C(/C(=O)O)\C#N,8.78
145,CCCCCCN(c1ccc(cc1)n1c2cc(sc2c2c1cc(s2)c1ccc2c(c1)C1CCCC1N2c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)/C=C(/C(=O)O)\C#N)CCCCCC,7.4
146,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1sc2c(c1)c1nn(nc1c1c2sc(c1)c1cc2c(s1)c1c(n2CC(CCCC)CC)cccc1)CC(CCCC)CC,6.71
147,Cc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc2c3c1cccc3c(=O)n(c2=O)CC(=O)O,1.18
148,OC(=O)Cn1c(=O)c2ccc(c3c2c(c1=O)ccc3c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,2.7
149,N#C/C(=C\1/CCCC(=C1)/C=C/c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,1.92
