S.No,Molecule SMILE,PCE
117,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,1.58
118,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,0.89
119,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,2.35
120,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,1.81
121,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,1.84
122,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccc(s1)c1ccncc1)c1ccccc1,1.89
123,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,1.15
124,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccncc1)c1ccccc1,1.04
125,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C(=O)O,0.97
126,OC(=O)c1ccc(cc1)c1ccc2c(c1)[nH]c1c2ccc(c1)N(c1ccccc1)c1ccccc1,0.91
127,CCCCCCc1cc(sc1c1sc(cc1CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,3.4
128,CCCCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,4.9
129,CCCCCCCCC(Cn1c2cc(C#Cc3ccc(c4c3nsn4)c3ccc(cc3)C(=O)O)c3c4c2c2c1cc(c1ccc5c(c1)c1ccccc1n5CC(CCCCCCCC)CCCCCC)c1c2c(c4ccc3)ccc1)CCCCCC,10.7
130,CCCCCCCCC(Cn1c2cc(C#Cc3ccc(c4c3nsn4)c3ccc(cc3)C(=O)O)c3c4c2c2c1cc(c1ccc5c(c1)c1ccccc1C5(CC(CCCCCCCC)CCCCCC)CC(CCCCCCCC)CCCCCC)c1c2c(c4ccc3)ccc1)CCCCCC,9.8
131,CCCCCCCCC(Cn1c2ccc3c4c2c2c1cc(C#Cc1ccc(c5c1nsn5)c1ccc(cc1)C(=O)O)c1c2c(c4ccc3)ccc1)CCCCCC,7.6
132,CCCCCCc1cc(sc1c1cc(c(s1)/C=C(/C(=O)Nc1ccc(cc1)[Si](OC)(OC)OC)\C#N)CCCCCC)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,12.5
133,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)Nc1ccc(cc1)C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,9.32
134,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1ccc2c(c1)c1ccccc1n2CCCC,6.16
135,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc2c(c1)c1ccccc1n2CCCC)c1ccc2c(c1)c1cc(ccc1n2CCCC)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,6.33
136,CCCCn1c2ccc(cc2c2c1ccc(c2)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CCCC,5.87
137,N#C/C(=C\c1ccc2c(n1)ccc(c2)n1c2ccc(cc2c2c1ccc(c2)OC)OC)/C(=O)O,0.75
138,CCCCCCCCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,2.17
139,CCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,3.17
140,CCCCn1c2ccc(cc2c2c1cccc2)c1nc2cc(ccc2nc1c1ccc2c(c1)c1ccccc1n2CCCC)c1ccc(s1)C=C(C(=O)O)C#N,4.27
141,N#CC(=Cc1ccc(s1)c1ccc2c(c1)nc(c(n2)c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)c1ccccc1n2CC)C(=O)O,2.58
142,CCCCCCCCn1c2ccccc2c2c1ccc1c2c2c3cc(ccc3n(c2cc1)CCCCCCCC)/C=C(/C(=O)O)\C#N,3.18
143,N#C/C(=C\c1sc2c(c1)C(c1c2sc(c1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)(C)C)/C(=O)O,4.78
144,N#C/C(=C\c1sc2c(c1)C(c1c2sc(c1)c1ccc(s1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)(C)C)/C(=O)O,4.33
