SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
O=C(O)/C(C#N)=C/c1ccc(cc1)-c(cc2)cc(c23)N(CC(CC)CCCC)C(=O)C\3=C4\C(=O)N(CC(CC)CCCC)c(c45)cc(cc5)-c(c6)ccc(c67)N(C8C7CCC8)c9ccc(C)cc9,1194,905.1746,14.5871,3,0,17,68,0,4,9,104.9500,145.0050,274.2680,121.9290
O=C(O)/C(C#N)=C/c1sc(cc1)-c(cc2)cc(c23)C(CCCC)(CCCC)c4c3ccc(c4)N(c(c5)ccc(c56)n(CC)c7c6cccc7)c(c8)ccc(c89)c1c(C9(CCCC)CCCC)cc(cc1)-c1ccc(s1)/C=C(\C#N)C(=O)O,1195,1117.4647,19.7914,2,0,21,82,0,0,11,186.8300,176.3410,332.5542,153.9560
Cc1ccc(cc1)N2c(c3C(C24)CCC4)ccc(c3)-c5ccc(c(c56)nsn6)-c7ccc(cc7)C(=O)O,1196,503.6141,7.8924,2,0,4,37,0,2,7,94.5600,79.0030,148.8791,70.1270
Cc1ccc(cc1)N2c(c3C(C24)CCC4)ccc(c3)C#Cc5ccc(c(c56)nsn6)-c7ccc(cc7)C(=O)O,1197,527.6355,8.4828,2,0,4,39,0,2,7,94.5600,84.0030,148.8791,72.6930
Cc1ccc(cc1)N2C(CCC3)C3c(c24)cc(cc4)-c5ccc(c(c56)nsn6)C#Cc7ccc(cc7)C(=O)O,1198,527.6355,8.4828,2,0,4,39,0,2,7,94.5600,84.0030,148.8791,72.6930
c1ccccc1-c(n2)c(-c3ccccc3)nc(c24)c(ccc4-c5sc(cc5)/C=C(/C#N)C(=O)O)-c(c6)ccc(c67)N(C8C7CCC8)c9ccc(C)cc9,1199,706.8528,11.4770,3,0,6,53,0,2,9,118.3500,113.8380,209.2627,101.3050
CCCCCCCCC1(CCCCCCCC)c(cc(s2)/C=C(/C#N)C(=O)O)c2c(c13)sc(c3)-c4ccc(c(c45)nc(-c6ccccc6)c(n5)-c7ccccc7)-c(c8)ccc(c89)N(C1C9CCC1)c1ccc(C)cc1,1200,1025.4124,20.1392,3,0,20,75,0,2,11,146.5900,148.5890,307.8591,143.0840
c1ccccc1N(c2ccccc2)c3ccc(cc3)-c4sc(c(c45)OCC(O5)/C=C(/C#N)C(=O)O)COCCCCCCCCOCc6sc(c(c67)OC(CO7)/C=C(/C#N)C(=O)O)-c8ccc(cc8)N(c9ccccc9)c1ccccc1,1201,1131.3175,14.7196,8,0,23,82,0,2,10,240.5200,187.6720,315.4784,147.4760
c1ccccc1N(c2ccccc2)c3ccc(cc3)-c(sc4/C=C(/C#N)C(=O)O)c(c45)OCC(O5)COCCCCCCCCOCC(O6)COc(c67)c(/C=C(/C#N)C(=O)O)sc7-c8ccc(cc8)N(c9ccccc9)c1ccccc1,1202,1131.3175,14.9330,8,0,23,82,0,2,10,240.5200,187.6720,315.4784,147.4760
c1ccccc1N(c2ccccc2)c3ccc(cc3)-c(c(c45)OCC(O5)/C=C(/C#N)C(=O)O)sc4COCCCCCCCCOCc6sc(c(c67)OCC(O7)/C=C(/C#N)C(=O)O)-c8ccc(cc8)N(c9ccccc9)c1ccccc1,1203,1131.3175,14.7196,8,0,23,82,0,2,10,240.5200,187.6720,315.4784,147.4760
COCC(O1)COc(c12)c(/C=C(/C#N)C(=O)O)sc2-c3ccc(cc3)N(c4ccccc4)c5ccccc5,1204,524.5870,6.3236,4,0,7,38,0,1,5,120.2600,89.8360,144.7671,68.6200
COCC(O1)COc(c12)c(sc2/C=C(/C#N)C(=O)O)-c3ccc(cc3)N(c4ccccc4)c5ccccc5,1205,524.5870,6.3236,4,0,7,38,0,1,5,120.2600,89.8360,144.7671,68.6200
CCCCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCCCC)c3ccc(cc3)-c(c4)sc(c45)c6c(C5(CCCCCC)CCCCCC)cc(s6)-c7cc(C(=O)O)cc(n7)-c8cc(C(=O)O)cc(n8)-c(s9)cc(c19)C(CCCCCC)(CCCCCC)c2c1sc(c2)-c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,1206,1820.5975,37.5912,6,0,57,130,0,0,14,256.7400,255.1760,537.0000,247.6600
CCCCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCCCC)c3ccc(cc3)-c(c4)sc(c45)c6c(C5(CCCCCC)CCCCCC)cc(s6)-c7ccc(C(=O)O)c(n7)-c8ccc(C(=O)O)c(n8)-c(c9)sc(c19)c2c(C1(CCCCCC)CCCCCC)cc(s2)-c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,1207,1820.5975,37.5912,6,0,57,130,0,0,14,256.7400,255.1760,537.0000,247.6600
CCCCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCCCC)c3ccc(cc3)-c4ccc(s4)-c5ccc(s5)/C=C(/C#N)C(=O)O,1208,704.9398,12.7622,3,0,18,50,0,0,5,139.2700,108.1700,203.6523,94.7950
