188,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC
189,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O
190,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O
191,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC
192,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC
193,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O
194,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC
195,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N
199,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1
200,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N
201,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N
202,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1
205,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC
206,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC
207,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N)CC
208,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1CCCC1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC
209,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccccc2c2c1cccc2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC
210,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1c2ccccc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC
211,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1
212,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1)C)/C=C/1\SC(=S)N(C1=O)CC(=O)O
213,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)C#N)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC
214,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)Br)CCCCCCCCCC
215,CCCCCCCCCCCC[C@H](CN1c2ccccc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC
216,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)OC[C@H](CCCC)CC)c1ccc(s1)[C@@H]1[C@H]([O-])/C(=C/[C@@H]2[NH+](CCCCCCCC)c3c(C2(C)C)cc(cc3)C(=O)O)/C1=O
217,CCSc1cc2c(cc1C=C(C(=O)O)C#N)Sc1c(N2c2ccc(cc2)OC)cccc1
218,CCCCN1c2cc(SCC)c(cc2Sc2c1cccc2)C=C(C(=O)O)C#N
219,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N
220,CCCCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N
221,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1
224,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)N(c1ccc(cc1)C(c1ccccc1)(C)C)c1ccc(cc1)C(c1ccccc1)(C)C
225,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CCCCCC
226,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N
227,CCCCCCc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N
228,CCCCCCc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)/C=C(\C(=O)O)/C#N
